method,count,total_time,execution_time,execution_count
dbscan_clustering,19,6.980145215988159,6.980145215988159,19
find_center,9,0.02640509605407715,0.02640509605407715,9
gather_extreme_points,44,0.4390602111816406,0.4390602111816406,44
fit_ellipse,44,0.0024557113647460938,0.0024557113647460938,44
transform_ellipses_to_circle_1,10,0.0653069019317627,0.0653069019317627,10
dbscan_clustering,44,17.439886331558228,10.459741115570068,25
find_center,18,0.050560951232910156,0.024155855178833008,9
gather_extreme_points,112,1.152571678161621,0.7135114669799805,68
fit_ellipse,112,0.005702018737792969,0.003246307373046875,68
transform_ellipses_to_circle_1,20,0.12679767608642578,0.061490774154663086,10
dbscan_clustering,318,64.85054922103882,47.41066288948059,274
find_center,27,0.07143425941467285,0.020873308181762695,9
gather_extreme_points,1096,5.5521299839019775,4.3995583057403564,984
fit_ellipse,1096,0.03171539306640625,0.02601337432861328,984
transform_ellipses_to_circle_1,30,0.18456292152404785,0.05776524543762207,10
dbscan_clustering,337,71.49935579299927,6.648806571960449,19
find_center,36,0.09315323829650879,0.021718978881835938,9
gather_extreme_points,1140,5.970698118209839,0.41856813430786133,44
fit_ellipse,1140,0.0332341194152832,0.0015187263488769531,44
transform_ellipses_to_circle_1,40,0.24411964416503906,0.05955672264099121,10
dbscan_clustering,507,151.74628233909607,80.2469265460968,170
find_center,45,0.11694121360778809,0.023787975311279297,9
gather_extreme_points,1736,12.507826089859009,6.53712797164917,596
fit_ellipse,1736,0.055423736572265625,0.022189617156982422,596
transform_ellipses_to_circle_1,50,0.30490875244140625,0.06078910827636719,10
dbscan_clustering,526,158.95547199249268,7.2091896533966064,19
find_center,54,0.1401822566986084,0.023241043090820312,9
gather_extreme_points,1780,12.966211318969727,0.4583852291107178,44
fit_ellipse,1780,0.05705380439758301,0.0016300678253173828,44
transform_ellipses_to_circle_1,60,0.3654489517211914,0.060540199279785156,10
dbscan_clustering,700,234.9752390384674,76.01976704597473,174
find_center,63,0.16580748558044434,0.025625228881835938,9
gather_extreme_points,2392,18.75287938117981,5.786668062210083,612
fit_ellipse,2392,0.07727909088134766,0.02022528648376465,612
transform_ellipses_to_circle_1,70,0.4277048110961914,0.062255859375,10
dbscan_clustering,724,245.60726022720337,10.632021188735962,24
find_center,72,0.19252562522888184,0.0267181396484375,9
gather_extreme_points,2446,19.358410835266113,0.6055314540863037,54
fit_ellipse,2446,0.08002686500549316,0.002747774124145508,54
transform_ellipses_to_circle_1,80,0.4920940399169922,0.06438922882080078,10
dbscan_clustering,743,252.93024325370789,7.322983026504517,19
find_center,81,0.22441697120666504,0.0318913459777832,9
gather_extreme_points,2490,19.82343816757202,0.4650273323059082,44
fit_ellipse,2490,0.08267664909362793,0.0026497840881347656,44
transform_ellipses_to_circle_1,90,0.554694652557373,0.06260061264038086,10
dbscan_clustering,762,260.02947330474854,7.099230051040649,19
find_center,90,0.25206995010375977,0.027652978897094727,9
gather_extreme_points,2534,20.274739503860474,0.45130133628845215,44
fit_ellipse,2534,0.08460354804992676,0.0019268989562988281,44
transform_ellipses_to_circle_1,100,0.6164236068725586,0.06172895431518555,10
dbscan_clustering,781,267.0817940235138,7.052320718765259,19
find_center,99,0.27718496322631836,0.025115013122558594,9
gather_extreme_points,2578,20.74492859840393,0.47018909454345703,44
fit_ellipse,2578,0.08610010147094727,0.0014965534210205078,44
transform_ellipses_to_circle_1,110,0.6777198314666748,0.06129622459411621,10
dbscan_clustering,932,313.87416338920593,46.79236936569214,151
find_center,108,0.29883718490600586,0.0216522216796875,9
gather_extreme_points,3098,24.618761777877808,3.873833179473877,520
fit_ellipse,3098,0.10421347618103027,0.018113374710083008,520
transform_ellipses_to_circle_1,120,0.7397897243499756,0.06206989288330078,10
dbscan_clustering,951,320.8369822502136,6.96281886100769,19
find_center,117,0.3242955207824707,0.025458335876464844,9
gather_extreme_points,3142,25.047439098358154,0.4286773204803467,44
